Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,SP,W,EW,TotalCount
,,,1410,PAKNIA F,9,6,2,3,1,,1,,,,5,,27
,,,1411,TAYLOR S M,5,5,4,,4,1,,,,,8,,27
,,,1412,TAYLOR S M,11,3,1,1,3,,,,,,6,,25
,,,1413,LAVALLEE R J,,,2,,1,,,,,,5,1,9
,,,1414,LAVALLEE R J,,1,1,,,,,,,,3,,5
,,,1417,EBRAHIMI H,9,4,4,,3,,,,,,6,1,27
,,,1418,EBRAHIMI H,11,9,3,1,1,,1,,,,,,26
,,,1419,STRATHEARN M D,6,3,4,,4,,,,,,9,1,27
,,,1420,STRATHEARN M D,4,2,1,,3,,,,,,13,1,24
,,,1421,LAVALLEE R J,,,1,,5,,1,,,,5,,12

,,,1423,WALKER WAUGH M V,3,1,4,,1,,,,,,9,1,19
,,,1424,WALKER WAUGH M V,1,3,2,,2,,,,,,8,,16
,,,1425,KO H,2,1,2,2,3,,,,,,6,,16
,,,4045,DHAR G,12,1,,2,2,,1,,,,3,,21
,,,4046,DHAR G,3,7,5,1,1,,,,,,7,,24
,,,4047,CHUNG G G,7,5,4,,1,,,,,,9,,26
,,,4048,CHUNG G G,9,3,7,,2,,,2,,,1,,24
,,CHEM   11,1427,PAPAZYAN A,2,5,4,1,1,,,,,,5,,18
,,,1428,PAPAZYAN A,3,6,7,,1,1,,,,,7,,25
,,,1429,PAPAZYAN A,16,4,3,2,,1,,,,,2,,28
,,,1430,GALLOGLY E B,,1,9,2,1,1,1,,,,8,,23
,,,1432,GALLOGLY E B,,2,7,,,,,,,,6,,15
,,,1433,HSIEH J M,4,2,2,2,1,,,,,,8,,19
,,,1434,HSIEH J M,,2,6,1,1,1,1,1,,,8,,21
,,,1435,SCHOLEFIELD M R,2,4,6,1,,,1,,,,7,,21
,,,1436,SCHOLEFIELD M R,4,2,3,1,1,,,1,,,12,,24
,,,1437,SCHOLEFIELD M R,3,2,8,2,2,1,,,,,8,,26
,,,4049,TOUMARI A,8,5,4,,1,1,1,,,,4,,24
,,,4050,TOUMARI A,12,4,3,,2,,1,,,,6,,28
,,CHEM   12,1438,NAULI S,3,2,4,1,3,,1,,,,10,,24
,,,1440,MURPHY J E,3,4,3,1,2,,3,,,,12,,28
,,,1441,MURPHY J E,8,7,5,,4,,,1,,,5,1,31
,,,1442,NAULI S,1,,1,1,2,,,,,,14,,19
,,,1443,LICHTSCHEIDL A,4,8,7,1,1,,,,,,3,,24
,,,1444,LICHTSCHEIDL A,3,12,5,,3,2,,,,,1,1,27
,,CHEM   19,1445,SCHWYTER D H,4,1,,2,5,,1,,,,11,,24
,,,1446,SCHWYTER D H,6,,2,,7,,1,,,,10,1,27
,,,1447,PECORELLI T A,8,6,3,,1,,,,,,7,,25
,,,1448,PECORELLI T A,9,5,1,,1,1,,,,,4,,21
,,,1449,BABAKHANLOU M,8,8,4,1,,1,,1,,,1,,24
,,,1450,BABAKHANLOU M,17,3,1,,1,,,1,,,1,,24
,,,4051,PECORELLI T A,7,3,5,1,4,,,,,,5,,25
,,,4052,PECORELLI T A,10,4,2,1,4,,,,,,3,,24
,,CHEM   21,1451,BAUTISTA M R,2,1,4,,,,,,,,2,,9

,,,1452,BAUTISTA M R,1,3,2,1,,,,,,,3,,10
,,,1453,ANDERSON JAMEY L,13,2,2,1,1,,2,,,,1,1,23
,,CHEM   22,1455,DONG T A,9,7,2,3,3,,1,,,,11,,36
,,CHEM   24,1457,DONG T A,9,1,1,1,,,,,,,3,,15
,,,1458,DONG T A,7,4,3,,,,1,,,,7,,22
,,,1459,ANDERSON JAMEY L,11,6,5,,,,,,,,,,22
,,CHEM   88A,1460,NAULI S,8,,,,,,,,,,1,,9
,,CHEM   88B,1461,NAULI S,2,,,,,,,,,,1,,3
,ENGR,ENGR    1,2169,SANTOS J,16,1,6,,5,1,,,,,3,,32
,,ENGR   11,2170,DIRECTO N J,14,3,1,,,,,,,,7,,25
,,ENGR   12,2171,MANOOKIAN N,9,4,2,,1,,,,,,2,,18
,,ENGR   21,4094,SANTOS J,10,6,1,,1,,,,,,4,,22
,,ENGR   22,2172,SANTOS J,5,,,,1,,,,,,1,,7
,PHYSCS,PHYSCS  6,3010,PAIK S T,11,6,2,1,2,,,,,,5,,27
,,,3011,PAIK S T,8,5,2,,5,,1,,,,5,1,27
,,,3012,ARABI M,7,4,7,,2,1,,,,,4,,25
,,PHYSCS  7,3013,PAIK S T,19,3,2,,2,,,,,,1,1,28
,,,3014,PAIK S T,16,9,1,,1,,,,,,1,,28
,,PHYSCS  8,3015,HENDERSON J M,7,3,2,,3,,1,1,,,9,,26
,,PHYSCS  9,3016,BAUER D,6,9,2,1,,,,,,,7,1,26
,,PHYSCS 12,3367,HENDERSON J M,4,,1,1,6,1,1,,,,10,,24
,,,4248,MURPHY T J,3,1,1,,1,,1,,,,1,,8
,,PHYSCS 14,3018,KAMAGA C N,3,1,3,1,5,,1,,,,6,,20
,,,3019,KAMAGA C N,4,3,,,,,,,,,2,,9
,,,4249,DO M H,3,7,4,2,1,2,,,,,,1,20
,,PHYSCS 20,3020,ARABI M,3,2,3,,4,,1,,,,6,,19
,,PHYSCS 21,3021,FARIVAR D,5,5,4,1,1,1,,,,,10,,27
,,,3022,LEV N R,10,1,4,1,3,,,,,,1,,20
,,,3023,STROHMAIER K D,5,5,2,1,3,,1,,,,10,,27
,,,3024,MENACHEKANIAN E,2,,1,1,1,,1,,,,12,,18
,,,3025,LINCOLN J J,12,8,4,1,,,,2,,,1,,28
,,,3026,ROBERTS KE,22,2,1,,1,,1,1,,,4,,32
,,,4250,ROJAS R R,3,2,4,1,2,,,,,,7,,19
,,PHYSCS 22,3027,STROHMAIER K D,3,7,5,1,2,,,,,,10,,28

,,,3028,MENACHEKANIAN E,1,2,3,2,,2,,,,,8,,18
,,,3029,CHEUNG KW H,6,6,,1,3,1,,1,,,10,,28
,,,4251,KOCHARIAN A,13,10,2,,,2,,,,,1,,28
,,PHYSCS 23,3031,FARIDIAN F,17,8,2,,1,,1,,,,1,,30
,,,3032,FARIDIAN F,22,4,,1,,1,,,,,2,,30
,,,4252,MAJLESSI A,8,5,1,,2,,1,,,,2,,19
,,PHYSCS 24,3033,FARIDIAN F,13,3,1,,,,,,,,2,,19
,SCI,SCI    10,3288,CARSON J,3,,,,,,,,,,7,,10
Psychology,ENVRN,ENVRN  40,2176,SCHWARTZ A F,6,4,1,,8,,,,,,1,,20
,PSYCH,PSYCH   1,3082,SCHWARTZ A F,10,10,5,,8,,,,,,6,,39
,,,3083,GUILD L A,17,10,3,,4,,,,,,3,,37
,,,3084,CHIN D,10,16,2,3,4,,,,,,5,1,41
,,,3085,SCHWARTZ A F,19,4,1,,,,,,,,1,,25
,,,3086,GUILD L A,17,14,4,,3,,,,,,2,1,41
,,,3087,WOODARD N L,8,1,2,1,6,,,,,,1,,19
,,,3088,SAGE R,2,,2,4,8,,,,,,18,,34
,,,3089,CHIN D,9,14,5,1,4,1,,,,,6,,40
,,,3091,O'LEARY B A,13,10,2,2,4,,,,,,8,,39
,,,3092,DAVIS-KING D T,7,8,11,4,2,,,,,,11,,43
,,,3093,SAGE R,1,5,5,3,5,,,,,,7,,26
,,,3095,HAUSMAN OZERY D,28,7,1,,4,1,1,,,,2,,44
,,,3096,CHOPP R M,19,14,,,6,,,,,,4,,43
,,,3097,ANDERSON ST M,25,7,3,1,4,,,,,,3,,43
,,,3098,ANDERSON ST M,22,7,3,,3,,1,,,,6,,42
,,,3099,CUE E N,29,9,3,,2,,,,,,1,,44
,,,3100,CUE E N,21,13,2,1,3,1,,,,,3,1,45
,,,3101,CUE E N,22,10,4,1,3,1,,,,,2,,43
,,,3102,FARWELL L A,9,11,5,1,1,1,1,,,,8,,37
,,,3103,FARWELL L A,20,7,5,,,2,,,,,4,,38
,,,3104,FARWELL L A,6,8,6,,5,,,1,,,8,,34
,,,3105,CHOPP R M,40,5,,,2,,,,,,,,47
,,,3274,HAUSMAN OZERY D,30,2,2,1,6,,,,,,2,,43
,,,3283,ARAKELYAN H,19,8,4,2,8,,,,,,5,,46
,,,3364,HAUSMAN OZERY D,29,7,1,,5,,,,,,3,,45

,,,3435,DAVIS-KING D T,8,9,5,3,10,,,,,,11,,46
,,,4258,DAVIS-KING D T,5,8,9,1,2,,,,,,9,,34
,,,4259,ARAKELYAN H,17,8,3,,15,,,,,,2,1,46
,,,4261,SMITH-CLARK C T,10,2,4,5,,,,,,,5,1,27
,,PSYCH   2,3106,RUSSELL R L,,4,5,,6,1,,,,,5,,21
,,,3107,RUSSELL R L,3,3,5,2,2,2,1,,,,3,,21
,,,3108,SAGE R,2,6,8,2,11,,,,,,9,,38
,,,3109,OLSON GENE C,1,4,5,2,,1,,,,,1,,14
,,,3110,SHIRINYAN D,13,13,6,3,,1,,,,,6,,42
,,,3111,SHIRINYAN D,13,14,13,2,3,2,1,,,,,,48
,,,3112,SHIRINYAN D,14,7,,,,,,,,,1,,22
,,,3113,SHIRINYAN D,13,12,6,6,2,1,,,,,4,,44
,,,3114,SHIRINYAN D,11,5,10,5,4,3,,,,,3,1,42
,,,4266,OLSON GENE C,4,2,6,4,8,,1,,,,10,,35
,,PSYCH   3,3115,CHIN D,34,6,2,1,,1,,,,,,,44
,,,3116,CHIN D,31,3,3,3,2,,,,,,1,,43
,,PSYCH   5,3117,CHOPP R M,27,3,3,2,1,1,2,,,,2,,41
,,PSYCH   6,3118,GUILD L A,23,12,3,1,3,,,,,,2,,44
,,PSYCH   7,3119,HALL JE,32,3,,1,,,,,,,2,,38
,,,3120,HALL JE,26,5,1,,,,,,,,2,1,35
,,,4268,SMITH-CLARK C T,7,10,6,3,1,,1,,,,6,,34
,,,4269,SMITH-CLARK C T,8,11,3,3,3,,,,,,4,,32
,,PSYCH  11,3121,SCHWARTZ A F,8,4,6,,1,,,,,,3,,22
,,,3122,MATHESON C C,6,5,3,5,4,1,,,,,8,,32
,,,3123,SCHWARTZ A F,5,8,3,,4,2,1,,,,3,,26
,,,3124,MATHESON C C,8,7,2,2,5,1,1,,,,9,,35
,,,3125,CUE E N,9,8,1,2,2,,,,,,2,,24
,,,3126,CUE E N,25,6,4,,4,,,,,,2,,41
,,,3127,HUFF G F,22,8,1,1,5,,,,,,8,,45
,,,3128,HUFF G F,27,2,3,,4,,,,,,7,,43
,,,3129,LOPEZ JE,15,3,3,,6,,,,,,4,,31
,,,3130,MOSLEY K R,17,8,4,1,3,,,,,,3,,36
,,,3131,GARDNER N M,9,3,7,1,6,,,,,,9,,35
,,,3132,TALLEDA M L,21,5,6,2,,,,,,,5,,39

,,PSYCH  13,3133,ANDERSON ST M,13,17,3,1,2,,,,,,2,,38
,,,3134,FARWELL L A,19,11,6,,,2,,,,,2,,40
,,,3135,FARWELL L A,17,10,7,,,,,,,,5,,39
,,PSYCH  14,3136,O'LEARY B A,22,7,2,,2,,,,,,3,,36
,,,3137,O'LEARY B A,16,5,2,,1,1,,,,,2,,27
,,PSYCH  19,3138,WOODARD N L,27,9,1,,4,,,,,,1,,42
,,,3139,MANSON L J,35,6,2,1,2,,,,,,2,,48
,,,3140,DRUKER S L,2,14,7,2,2,,,,,,4,,31
,,,3141,HALL JE,21,5,4,1,1,,,,,,7,,39
,,,3142,DRUKER S L,11,18,3,,2,,,,,,2,,36
,,,3143,DRUKER S L,8,12,6,4,2,,,,,,3,,35
,,,3462,WOODARD N L,23,6,2,1,2,,,,,,4,,38
,,PSYCH  25,3144,ANDERSON ST M,11,5,2,3,2,1,,,,,4,,28
,,,3275,ARAKELYAN H,22,4,7,1,6,,,,,,2,,42
,,,3434,ANDERSON ST M,15,7,2,,2,1,,,,,1,,28
,,PSYCH  40,3146,SCHWARTZ A F,7,,2,,4,,1,,,,2,,16
Theatre Arts,TH ART,TH ART  2,3201,ANDERSON C B,15,4,2,1,3,,,,,,1,,26
,,,3202,ADAIR-LYNCH T A,18,6,2,1,1,1,,,,,6,,35
,,TH ART  5,3203,HARROP A M,11,,,,,,,,,,4,,15
,,,3204,ADAIR-LYNCH T A,25,4,5,,2,1,1,,,,3,,41
,,TH ART 10A,3205,ROBBINS C R,18,1,1,1,1,1,1,,,,5,,29
,,TH ART 10B,4282,ROBBINS C R,8,2,,,,3,,,,,2,,15
,,TH ART 14,3446,MENDELSON J,7,1,3,,,,,,,,1,,12
,,,3447,MENDELSON J,16,4,1,1,,,,,,,,,22
,,TH ART 15,3207,SAWOSKI P,12,2,,,1,2,,,,,2,,19
,,TH ART 18A,3208,ANZELC L L,2,,,,1,,,,,,1,,4
,,TH ART 18B,3209,ANZELC L L,9,,,,,,,,,,2,,11
,,TH ART 18C,3210,ANZELC L L,2,,,,,,,,,,,,2
,,TH ART 20,3211,ALLEN L A,5,2,2,,4,,,,,,,,13
,,,3212,ALLEN L A,4,4,2,,2,,,,,,2,,14
,,TH ART 22,3213,ALLEN L A,5,4,4,,1,,,,,,3,,17
,,TH ART 23,3475,ALLEN L A,8,2,1,,1,,,,,,2,,14
,,TH ART 26,3215,HLUDZIK E A,5,3,1,,2,,,,,,1,,12
,,TH ART 28A,3216,ADAIR-LYNCH T A,13,1,2,,1,,,,,,1,,18

,,TH ART 41,3219,HARROP A M,19,1,,,,,,,,,8,,28
,,,3220,MARTIN A F,7,,1,1,3,1,,,,,8,,21
,,,3437,STERLING S A,19,,2,1,5,,,,,,5,,32
,,,4283,HARROP A M,10,1,,,,,,,,,5,,16
,,,4284,MARTIN A F,8,1,,1,4,,1,,,,7,,22
,,TH ART 42,3221,SAWOSKI P,8,5,,,,,,,,,3,,16
,,,3222,HARROP A M,23,,,,,1,,,,,4,,28
,,TH ART 45,3223,SAWOSKI P,19,,,,,,,,,,2,,21
,,TH ART 46,3224,ADAIR-LYNCH T A,16,1,1,,,1,,,,,1,,20
,,TH ART 50,4285,HARROP A M,15,,,,,,,,,,,,15
,,,4286,ADAIR-LYNCH T A,23,,,,,,,,,,1,,24
,,TH ART 51,3225,HARROP A M,16,,,,,,,,,,,,16
,,,3226,ADAIR-LYNCH T A,18,,,,,,,,,,3,,21
,,TH ART 88A,3227,SAWOSKI P,6,,,,,,,,,,,,6
